Material <EXCLUDE>;Material Count;Ingredient;Ingredient Count;Description;
Rimed Rowa;1;[Frostbite] Rimed Extract;3;Found in Mountaintops of the Giants.;
Root Resin;1;[Resin] Adhesive Amalgamate;5;Found near trees or the roots of the Greattree.;
Rowa Fruit;1;[Common] Essential Alchemic;2;Found easily throughout The Lands Between.;
Sacramental Bud;1;[Bloodloss] Bloody Extract;8;Found exceedingly rarely throughout The Lands Between.;
Sanctuary Stone;1;[Gold] Golden Amalgamate;2;Found rarely near the remains of fallen ruins.;
Silver Firefly;1;[Silver] Silvery Amalgamate;4;Found near cold waters untouched by sunlight.;
Silver Tear Husk;1;[Silver] Silvery Amalgamate;3;Found in and around the Eternal City.;
Sliver of Meat;1;[Flesh] Gory Amalgamate;3;Dropped by herbivorous beasts.;
Slumbering Egg;1;[Sleep] Sedative Extract;10;Dropped by Owl.;
Smoldering Butterfly;1;[Fire] Blazing Substance;9;Found near wildfires and elsewhere.;
Strip of White Flesh;1;[Flesh] Gory Amalgamate;3;Dropped by creatures devoid of blood.;
Tarnished Golden Sunflower;1;[Holy] Blessed Substance;1;Found near Minor Erdtrees.;
Toxic Mushroom;1;[Scarlet Rot] Scarlet Extract;4;Found at/near rotten lands.;
Trina's Lily;1;[Sleep] Sedative Extract;12;Found exceedingly rarely throughout The Lands Between.;
Turtle Neck Meat;1;[Flesh] Gory Amalgamate;4;Dropped by Miriel; Pastor of Vows.
Volcanic Stone;1;[Fire] Blazing Substance;1;Found near Mt. Gelmir.;
Yellow Ember;1;[Madness] Maddening Extract;4;Found at/near lands afflicted by frenzy.;
